City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,274.16,93,100,1.54,GL,1682286200
1,altamira,-3.2033,-52.2064,299.2,89,75,0.0,BR,1682286201
2,lavrentiya,65.5833,-171.0,265.46,69,2,2.45,RU,1682286201
3,tasiilaq,65.6145,-37.6368,275.24,91,100,2.68,GL,1682286202
4,hobart,-42.8794,147.3294,280.96,84,0,3.6,AU,1682286009
5,ushuaia,-54.8,-68.3,279.96,57,20,2.06,AR,1682286203
6,cayenne,4.9333,-52.3333,298.17,94,0,1.54,GF,1682286204
7,atuona,-9.8,-139.0333,300.62,77,18,6.52,PF,1682286204
8,asfi,32.2994,-9.2372,290.34,73,28,9.69,MA,1682286205
9,yumen,40.2833,97.2,281.89,47,97,10.02,CN,1682286205
10,torbay,47.6666,-52.7314,276.64,97,100,9.83,CA,1682286206
11,thompson,55.7435,-97.8558,275.24,48,20,4.12,CA,1682285928
12,sola,-13.8833,167.55,301.52,84,75,3.6,VU,1682286207
13,wanxian,30.8039,108.3897,284.04,81,100,2.11,CN,1682286207
14,mgandu,-5.95,34.1333,291.6,78,100,1.78,TZ,1682286208
15,mahibadhoo,3.7833,72.9667,301.98,77,73,3.55,MV,1682286208
16,lata,40.1629,-8.3327,289.71,98,82,0.79,PT,1682286209
17,angoram,-4.0625,144.0661,297.67,96,100,0.9,PG,1682286209
18,mount gambier,-37.8333,140.7667,284.6,82,0,2.32,AU,1682286210
19,brownsville,25.9018,-97.4975,295.98,82,100,11.32,US,1682286188
20,kapaa,22.0752,-159.319,300.14,77,100,2.06,US,1682285953
21,busselton,-33.65,115.3333,286.8,73,100,6.03,AU,1682286211
22,victoria,22.2855,114.1577,297.25,89,66,4.47,HK,1682285986
23,lebu,-37.6167,-73.65,285.84,82,0,5.79,CL,1682286212
24,hamilton,39.1834,-84.5333,281.9,53,100,6.69,US,1682285919
25,port elizabeth,-33.918,25.5701,293.76,82,0,1.03,ZA,1682286213
26,victoria point,-27.5833,153.3,295.9,81,32,4.47,AU,1682286213
27,buenos aires,-34.6132,-58.3772,293.15,77,0,4.63,AR,1682286196
28,gilbues,-9.8317,-45.3439,299.35,54,89,0.84,BR,1682286214
29,bluff,-46.6,168.3333,284.71,66,56,11.51,NZ,1682286214
30,reyes,-14.3167,-67.3833,296.69,82,93,0.78,BO,1682286215
31,namatanai,-3.6667,152.4333,300.72,77,86,2.18,PG,1682286215
32,yellowknife,62.456,-114.3525,283.44,37,20,3.09,CA,1682286216
33,rikitea,-23.1203,-134.9692,299.34,87,100,6.62,PF,1682286216
34,qaanaaq,77.484,-69.3632,261.72,92,94,0.57,GL,1682286216
35,yzeure,46.5644,3.355,282.82,85,82,3.37,FR,1682286218
36,mataura,-46.1927,168.8643,284.53,90,98,4.31,NZ,1682286218
37,bredasdorp,-34.5322,20.0403,291.27,82,100,2.82,ZA,1682286218
38,biak,-0.9131,122.8766,297.91,81,61,1.36,ID,1682286219
39,xining,36.6167,101.7667,274.79,92,100,0.27,CN,1682286219
40,butaritari,3.0707,172.7902,301.34,79,56,7.37,KI,1682286220
41,njeru,0.4186,33.1731,290.76,96,100,2.51,UG,1682286220
42,cidreira,-30.1811,-50.2056,294.81,80,78,6.29,BR,1682286221
43,san patricio,28.017,-97.5169,295.07,86,100,4.71,US,1682286221
44,ribeira grande,38.5167,-28.7,290.25,94,100,2.68,PT,1682286221
45,marienburg,54.0359,19.0266,286.5,93,100,2.83,PL,1682286222
46,saint george,37.1041,-113.5841,298.39,21,0,3.6,US,1682285992
47,cabo san lucas,22.8909,-109.9124,306.32,23,20,4.12,MX,1682286013
48,taltal,-25.4,-70.4833,292.35,75,20,2.58,CL,1682286223
49,brookhaven,31.5791,-90.4407,290.96,67,97,3.7,US,1682285950
50,pitkyaranta,61.5734,31.4792,273.49,100,100,2.53,RU,1682286224
51,esperance,-33.8667,121.9,292.98,40,68,8.31,AU,1682286225
52,saint-philippe,-21.3585,55.7679,298.92,74,100,2.81,RE,1682286225
53,hasaki,35.7333,140.8333,286.05,59,100,8.5,JP,1682286226
54,nanakuli,21.3906,-158.1547,302.12,63,0,4.63,US,1682286226
55,ponta do sol,32.6667,-17.1,292.43,75,98,1.27,PT,1682286227
56,new norfolk,-42.7826,147.0587,280.77,66,8,1.44,AU,1682286227
57,leningradskiy,69.3833,178.4167,257.3,88,28,7.13,RU,1682286228
58,severo-kurilsk,50.6789,156.125,273.24,89,88,6.99,RU,1682286228
59,punta arenas,-53.15,-70.9167,282.21,61,0,2.06,CL,1682286059
60,kurilsk,45.2333,147.8833,273.24,87,96,4.11,RU,1682286229
61,souillac,-20.5167,57.5167,298.36,83,40,1.54,MU,1682286229
62,muscat,23.6139,58.5922,304.16,60,85,2.26,OM,1682285944
63,tuktoyaktuk,69.4541,-133.0374,254.15,78,20,3.09,CA,1682286224
64,port alfred,-33.5906,26.891,293.94,66,97,3.51,ZA,1682286224
65,narsaq,60.9167,-46.05,281.27,76,96,0.84,GL,1682286231
66,yar-sale,66.8333,70.8333,273.08,98,100,6.49,RU,1682286231
67,sur,22.5667,59.5289,301.8,55,97,4.82,OM,1682286232
68,taoudenni,22.6783,-3.9836,303.89,9,0,2.32,ML,1682286232
69,andilamena,-17.0167,48.5833,291.9,96,60,1.3,MG,1682286233
70,iquique,-20.2208,-70.1431,296.17,79,4,3.75,CL,1682286055
71,swan river,52.1058,-101.2676,278.09,42,59,5.66,CA,1682286234
72,lagoa,39.05,-27.9833,289.47,94,100,7.15,PT,1682286234
73,kahului,20.8947,-156.47,301.16,51,20,4.12,US,1682286235
74,georgetown,5.4112,100.3354,299.11,94,20,2.06,MY,1682286096
75,nalut,30.3333,10.85,293.28,29,2,6.05,LY,1682286236
76,zhigansk,66.7697,123.3711,262.62,96,37,3.12,RU,1682286236
77,avarua,-21.2078,-159.775,299.18,65,33,5.14,CK,1682286220
78,san cristobal,7.7669,-72.225,300.25,89,66,0.99,VE,1682286049
79,pevek,69.7008,170.3133,271.96,70,1,2.31,RU,1682286237
80,katsuura,35.1333,140.3,284.02,85,100,8.6,JP,1682286238
81,acapulco,16.8634,-99.8901,304.05,62,0,3.6,MX,1682286238
82,soderhamn,61.3037,17.0592,273.68,92,100,5.19,SE,1682286239
83,kyaikkami,16.08,97.5675,301.13,76,68,1.02,MM,1682286239
84,vardo,70.3705,31.1107,269.14,100,65,10.29,NO,1682286239
85,turukhansk,65.8167,87.9833,273.27,98,100,4.7,RU,1682286240
86,belyy yar,53.6039,91.3903,269.09,63,36,1.0,RU,1682286240
87,bethel,41.3712,-73.414,289.83,72,75,4.63,US,1682285978
88,korla,41.7597,86.1469,282.06,54,73,0.74,CN,1682286241
89,arraial do cabo,-22.9661,-42.0278,296.07,73,0,1.54,BR,1682286242
90,antoing,50.556,3.4653,282.59,91,79,6.01,BE,1682286242
91,alofi,-19.0595,-169.9187,300.09,69,3,6.17,NU,1682286243
92,luderitz,-26.6481,15.1594,292.05,48,100,1.83,NA,1682286243
93,jamestown,42.097,-79.2353,279.92,66,100,3.6,US,1682286222
94,upernavik,72.7868,-56.1549,273.24,98,100,3.99,GL,1682286244
95,wenling,28.3669,121.36,287.87,90,100,3.75,CN,1682286245
96,chicama,-7.8447,-79.1469,297.45,67,61,3.68,PE,1682286245
97,chokurdakh,70.6333,147.9167,267.57,95,100,3.56,RU,1682286246
98,charters towers,-20.1,146.2667,293.11,78,99,5.46,AU,1682286247
99,makakilo city,21.3469,-158.0858,301.33,64,0,4.63,US,1682286247
100,kailua,21.4022,-157.7394,302.14,65,0,3.09,US,1682286248
101,gambela,8.25,34.5833,297.73,80,99,0.94,ET,1682286248
102,clyde river,70.4692,-68.5914,265.28,86,40,6.17,CA,1682285982
103,kruisfontein,-34.0033,24.7314,292.53,71,100,1.67,ZA,1682285969
104,puksoozero,62.5903,40.6066,272.74,93,99,1.94,RU,1682286250
105,guerande,47.3291,-2.4283,283.83,77,2,8.92,FR,1682286250
